ranking,SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking,pontuacao_unidade
1.0,71325,GABINETE DA PRESIDÊNCIA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,1207,5.539353769676883,0.9725839422423264,1,1,0,1.0,-17875804.308642372
2.0,20237,SECRETARIA DO TRIBUNAL PLENO,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,1065,2.943661971830986,0.6817073926571069,1,1,0,2.0,-15803500.779853497
3.0,72976,Gabinete da Vice-Presidência,13204.0,GRA2T,572.0,belem,PA,1501402.0,Gabinete de Desembargador do Trabalho,T,0.0,-1.4383166666667,-48.486861111111,1,775,95.8941935483871,4.07016447528515,1,1,0,3.0,-10753550.529468145
4.0,20763,PRESIDÊNCIA,13202.0,GRA2T,4059.0,recife,PE,2611606.0,Gabinete de Desembargador do Trabalho,T,,-8.0558555555556,-34.873275,1,777,111.2007722007722,3.61745155233244,2,1,0,4.0,-10665887.303241251
5.0,18590,GABINETE DO DESEMBARGADOR THENISSON SANTANA DÓRIA,13216.0,GRA2T,291.0,aracaju,SE,2800308.0,Gabinete de Desembargador do Trabalho,T,,-10.913031,-37.096198,1,804,369.55472636815915,7.092164311665036,1,1,0,5.0,-8931416.96902919
6.0,71328,SEÇÃO ESPECIALIZADA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,477,9.39203354297694,1.094450932161842,1,1,0,6.0,-7045414.723166439
7.0,27663,PRESIDÊNCIA DO TRT 10A. REGIÃO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,461,0.0,0.0,1,1,0,7.0,-6857430.472902716
8.0,22310,GABINETE DA PRESIDÊNCIA,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,487,99.1129363449692,3.2941291928083536,2,1,0,8.0,-6745465.833200208
9.0,70697,GABINETE DO DESEMBARGADOR ASSIS CARVALHO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,486,108.95679012345678,7.481940785247173,1,1,0,9.0,-6663420.71132725
10.0,70698,GABINETE DO DESEMBARGADOR CARLOS COELHO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,468,63.15811965811966,6.431218319191838,1,1,0,10.0,-6635879.462948333
