ranking,SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking,pontuacao_unidade
1.0,13206,Tribunal Regional do Trabalho da 10ª Região,13196.0,TRIBT,743.0,brasilia,DF,5300108.0,Tribunal Regional do Trabalho,T,0.0,,,1,41167,289.73501632840197,26.48012063193335,1,1,0,1.0,-482195059.03667504
2.0,13211,Tribunal Regional do Trabalho da 15ª Região,13196.0,TRIBT,939.0,campinas,SP,3509502.0,Tribunal Regional do Trabalho,T,0.0,,,0,53583,541.1402607670502,61.51900560602337,0,1,0,2.0,-474140139.9875167
3.0,13220,Tribunal Regional do Trabalho da 24ª Região,13196.0,TRIBT,959.0,campo grande,MS,5002704.0,Tribunal Regional do Trabalho,T,0.0,,,1,33410,120.01893670505942,38.19388117253147,1,1,0,3.0,-444124749.02579486
4.0,13207,Tribunal Regional do Trabalho da 11ª Região,13196.0,TRIBT,2850.0,manaus,AM,1302603.0,Tribunal Regional do Trabalho,T,0.0,,,1,34424,381.59793954613406,76.77719062187488,1,1,0,4.0,-354276149.6788548
5.0,13210,Tribunal Regional do Trabalho da 14ª Região,13196.0,TRIBT,3927.0,porto velho,RO,1100205.0,Tribunal Regional do Trabalho,T,0.0,,,1,27994,516.4440091312865,40.82923957897588,1,1,0,5.0,-260415959.79511648
6.0,13205,Tribunal Regional do Trabalho da 9ª Região,13196.0,TRIBT,1488.0,curitiba,PR,4106902.0,Tribunal Regional do Trabalho,T,0.0,,,1,40707,823.0747165927535,135.88629885244578,3,1,0,6.0,-215164446.45206764
7.0,13214,Tribunal Regional do Trabalho da 18ª Região,13196.0,TRIBT,1903.0,goiania,GO,5208707.0,Tribunal Regional do Trabalho,T,0.0,,,1,38883,962.4236606627522,96.03462902072886,1,1,0,7.0,-166835825.1737616
8.0,13198,Tribunal Regional do Trabalho da 2ª Região,13196.0,TRIBT,4795.0,sao paulo,SP,3550308.0,Tribunal Regional do Trabalho,T,0.0,,,1,45040,889.7160397754042,263.04310768926473,0,1,0,8.0,-150780656.80272758
9.0,13200,Tribunal Regional do Trabalho da 4ª Região,13196.0,TRIBT,3897.0,porto alegre,RS,4314902.0,Tribunal Regional do Trabalho,T,0.0,,,1,46315,1032.923983315771,146.50146613328334,0,1,0,9.0,-142698485.91116753
10.0,13218,Tribunal Regional do Trabalho da 22ª Região,13196.0,TRIBT,5149.0,teresina,PI,2211001.0,Tribunal Regional do Trabalho,T,0.0,,,1,34553,981.0722644135477,154.14456981110692,0,1,0,10.0,-121734645.306752
11.0,13203,Tribunal Regional do Trabalho da 7ª Região,13196.0,TRIBT,1808.0,fortaleza,CE,2304400.0,Tribunal Regional do Trabalho,T,0.0,,,1,39596,983.0674515733272,200.133462744573,0,1,0,11.0,-120502015.98075044
12.0,13208,Tribunal Regional do Trabalho da 12ª Região,13196.0,TRIBT,1790.0,florianopolis,SC,4205407.0,Tribunal Regional do Trabalho,T,0.0,,,1,42487,1205.5276798826135,52.689953630723906,3,1,0,12.0,-97427812.96816072
13.0,13197,Tribunal Regional do Trabalho da 1ª Região,13196.0,TRIBT,4155.0,rio de janeiro,RJ,3304557.0,Tribunal Regional do Trabalho,T,0.0,,,1,24603,981.6771806021533,171.197778861682,0,1,0,13.0,-82335068.4444571
14.0,13202,Tribunal Regional do Trabalho da 6ª Região,13196.0,TRIBT,4059.0,recife,PE,2611606.0,Tribunal Regional do Trabalho,T,0.0,,,1,38020,1196.2014496718512,79.852747932885,1,1,0,14.0,-80402973.13554727
15.0,13209,Tribunal Regional do Trabalho da 13ª Região,13196.0,TRIBT,2565.0,joao pessoa,PB,2507507.0,Tribunal Regional do Trabalho,T,0.0,,,1,30338,1018.57803753496,292.5504136601025,3,1,0,15.0,-53516583.962794036
16.0,13204,Tribunal Regional do Trabalho da 8ª Região,13196.0,TRIBT,572.0,belem,PA,1501402.0,Tribunal Regional do Trabalho,T,0.0,,,1,42440,1313.4560891119372,98.42374580556823,1,1,0,16.0,-32105797.93517829
17.0,13219,Tribunal Regional do Trabalho da 23ª Região,13196.0,TRIBT,1471.0,cuiaba,MT,5103403.0,Tribunal Regional do Trabalho,T,0.0,,,1,2,0.0,0.0,0,1,0,17.0,-29668.311936981103
18.0,13213,Tribunal Regional do Trabalho da 17ª Região,13196.0,TRIBT,5473.0,vitoria,ES,3205309.0,Tribunal Regional do Trabalho,T,0.0,,,1,41607,1377.2351605788342,114.80163281791586,0,1,0,18.0,1875272.6761708253
19.0,13201,Tribunal Regional do Trabalho da 5ª Região,13196.0,TRIBT,4278.0,salvador,BA,2927408.0,Tribunal Regional do Trabalho,T,0.0,,,1,41014,1528.1249711586481,39.74045703893643,3,1,0,19.0,32948902.972142965
20.0,13216,Tribunal Regional do Trabalho da 20ª Região,13196.0,TRIBT,291.0,aracaju,SE,2800308.0,Tribunal Regional do Trabalho,T,0.0,,,1,33457,1584.9874641930717,61.41199896591079,3,1,0,20.0,53153077.865598075
21.0,13217,Tribunal Regional do Trabalho da 21ª Região,13196.0,TRIBT,3201.0,natal,RN,2408102.0,Tribunal Regional do Trabalho,T,0.0,,,1,34333,1789.0613199540105,42.17916097006268,1,1,0,21.0,118006242.0209045
22.0,13212,Tribunal Regional do Trabalho da 16ª Região,13196.0,TRIBT,4752.0,sao luis,MA,2111300.0,Tribunal Regional do Trabalho,T,0.0,,,1,36741,1610.3934628720497,439.5525336321691,1,1,0,22.0,206637386.70873222
23.0,13199,Tribunal Regional do Trabalho da 3ª Região,13196.0,TRIBT,583.0,belo horizonte,MG,3106200.0,Tribunal Regional do Trabalho,T,0.0,,,1,51922,1814.8121916644463,108.81091999703087,2,1,0,23.0,226428408.6980486
