codigo,descricao
14,DIREITO TRIBUTÁRIO
195,DIREITO PREVIDENCIÁRIO
287,DIREITO PENAL
864,DIREITO DO TRABALHO
899,DIREITO CIVIL
1146,DIREITO MARÍTIMO
1156,DIREITO DO CONSUMIDOR
1209,DIREITO PROCESSUAL PENAL
1654,Contrato Individual de Trabalho
1658,Duração do Trabalho
1661,Horas In Itinere
1663,Adicional Noturno
1666,Insalubridade
1681,Periculosidade
1690, Contribuição / Taxa Assistencial
1691, Contribuição Confederativa
1695,Acordo e Convenção Coletivos de Trabalho
1697,Direito Sindical e Questões Análogas
1703, Eleição
1705, Registro de Entidade Sindical
1721,Salário In Natura
1723,Assédio Moral
1724,Assédio Sexual
1767,Cesta Básica
1773,Contribuição Sindical
1783,Comissão
1789,Complemento Temporário Variável de Ajuste ao Piso de Mercado
1806,Alteração Contratual ou das Condições de Trabalho
1807,Contrato de Experiência - Nulidade
1814,Contrato Nulo
1816,Contrato Por Prazo Determinado
1822,Contrato Temporário
1844,CTPS
1849,Culpa Recíproca
1855,Indenizaçao por Dano Moral
1888,Descontos Salariais - Devolução
1904,Despedida / Dispensa Imotivada
1907,Justa Causa / Falta Grave
1920,Diárias
1929,Dirigente Sindical
1932,Reversão / Retorno ao Cargo Efetivo
1937,Responsabilidade Solidária / Subsidiária
1957,PIS / RAIS
1965, Empregado Público
1966, Portador de HIV
1976,Contrato Suspenso
1977,Estabilidade decorrente de Norma Coletiva
1978, Gestante
1981, Membro da Cipa
1998,Multa de 40% do FGTS
2019,Fruição / Gozo 
2021,Indenização / Terço Constitucional
2029,FGTS mas em outro ramo na árvore da justiça do trabalho
2031,Correção Monetária
2033,Depósito / Diferença de Recolhimento
2037,Levantamento / Liberação
2055,Gratificação
2086,Horas Extras
2116,Sobreaviso
2117,Supressão de Horas Extras Habituais - Indenização
2133,Inquérito Administrativo
2135,Sentença Normativa
2139,Intervalo Interjornada
2140,Intervalo Intrajornada
2141,Adicional de Hora Extra
2210,Multa do Artigo 467 da CLT
2212,Multa do Artigo 477 da CLT
2215,Multa Prevista em Norma Coletiva
2233,Contratação de Reabilitados e Deficientes Habilitados
2243,Plano de Demissão Voluntária
2266,Contratação em Período Eleitoral
2273,PIS - Indenização
2275,Piso Salarial da Categoria / Salário Mínimo Profissional
2331,Prêmio
2349,Contribuição de Previdência Privada - Resgate
2364,Plano de Saúde
2409,Enquadramento / Classificação
2421,Reintegração de Posse - Despejo
2426,Repouso Semanal Remunerado e Feriado
2435,Rescisão Indireta
2445,Alteração / Revogação de Regulamento da Empresa
2449,Reajuste Salarial
2450,Gorjeta
2452,Salário Vencido / Retido
2458,Salário / Diferença Salarial
2461,Salário Família
2463,Salário Paternidade
2466,Salário Por Fora - Integração
2468,Salário Por Safra
2477,Seguro de Vida
2478,Seguro Desemprego
2479,Indenização
2480,Liberação das Guias
2493,Tarefa 
2506,Tíquete Alimentação
2523,Transferência
2537,Unicidade Contratual
2540,Vale Transporte
2546,Verbas Rescisórias
2554,Reconhecimento de Relação de Emprego
2557,Contrato de Aprendizagem
2558,Cooperativa de Trabalho
2559,Contrato de Estágio
2567,Responsabilidade Civil do Empregador
2569,Acidente de Trabalho
2581,"Remuneração, Verbas Indenizatórias e Benefícios"
2583,Abono
2594,Adicional 
2604,Adicional de Transferência
2606,Ajuda de Custo
2620,Rescisão do Contrato de Trabalho
2622,Aposentadoria e Pensão
2624,Complementação de Aposentadoria / Pensão
2641,AVISO PRÉVIO
2656,Reintegração / Readmissão ou Indenização
2657,Anistia
2661,Estabilidade Acidentária
2662,Férias
2663,Abono Pecuniário
2666,Décimo Terceiro Salário
2670,Advertência / Suspensão
2697,Salário por Equiparação / Isonomia
2704,Tomador de Serviços / Terceirização
3369,Crimes contra a vida
3370,Homicídio Simples
3371,Homicídio Privilegiado
3372,Homicídio Qualificado
3373,"Induzimento, Instigação ou Auxílio a Suicídio"
3375,Infanticídio
3385,Lesão Corporal
3386,Leve
3387,Seguida de Morte
3388,Periclitação da Vida e da Saúde e Rixa
3389,Perigo de contágio de moléstia grave
